open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2026-07-14 23:00:00+00:00,81048.8,81623.8,81018.8,81468.7,5036.89,2026-07-14 23:59:59.999000+00:00,409774766.4,129077,2908.52,236545572.9,0
2026-07-15 00:00:00+00:00,81468.7,81570.1,81066.0,81092.1,3464.623,2026-07-15 00:59:59.999000+00:00,281784239.5,129762,1809.664,147185878.7,0
2026-07-15 01:00:00+00:00,81092.1,81328.9,80706.9,81262.0,8962.24,2026-07-15 01:59:59.999000+00:00,725780736.5,219634,4472.56,362276864.9,0
2026-07-15 02:00:00+00:00,81262.0,81305.7,80886.7,81022.7,4189.866,2026-07-15 02:59:59.999000+00:00,339546297.7,98935,2323.814,188289150.3,0
2026-07-15 03:00:00+00:00,81022.7,81073.2,80650.4,80682.2,3302.164,2026-07-15 03:59:59.999000+00:00,267025346.8,92403,1487.56,120305534.1,0
2026-07-15 04:00:00+00:00,80682.1,80846.0,80266.8,80320.1,11578.932,2026-07-15 04:59:59.999000+00:00,931874482.0,227623,5456.598,439170861.0,0
2026-07-15 05:00:00+00:00,80320.0,80597.0,80266.9,80541.8,5427.57,2026-07-15 05:59:59.999000+00:00,436617298.8,126315,2946.349,237011102.7,0
2026-07-15 06:00:00+00:00,80541.9,80971.3,80519.1,80782.8,6574.767,2026-07-15 06:59:59.999000+00:00,531033615.8,130879,3513.978,283814120.9,0
2026-07-15 07:00:00+00:00,80782.9,80793.0,80368.9,80606.3,4188.012,2026-07-15 07:59:59.999000+00:00,337496612.7,111974,1919.95,154709927.7,0
2026-07-15 08:00:00+00:00,80606.2,80638.0,80323.0,80449.8,3441.505,2026-07-15 08:59:59.999000+00:00,276889462.3,98154,1695.131,136379692.1,0
2026-07-15 09:00:00+00:00,80449.9,80730.0,80364.6,80670.1,4295.626,2026-07-15 09:59:59.999000+00:00,345982436.7,108417,2334.51,188043407.2,0
2026-07-15 10:00:00+00:00,80670.2,80716.9,80545.0,80582.1,2072.82,2026-07-15 10:59:59.999000+00:00,167086397.5,63021,913.663,73650380.46,0
2026-07-15 11:00:00+00:00,80582.0,80596.7,80280.0,80349.9,6901.952,2026-07-15 11:59:59.999000+00:00,555149840.3,123336,3169.25,254913774.5,0
2026-07-15 12:00:00+00:00,80349.8,80349.8,78638.8,78727.8,37417.044,2026-07-15 12:59:59.999000+00:00,2969744636.0,633492,17590.822,1395750724.0,0
2026-07-15 13:00:00+00:00,78727.8,79325.3,78610.0,79120.6,18928.541,2026-07-15 13:59:59.999000+00:00,1496119938.0,432768,10852.128,857773547.1,0
2026-07-15 14:00:00+00:00,79120.6,79337.9,78980.3,79118.0,6193.98,2026-07-15 14:59:59.999000+00:00,490309892.6,176502,3179.783,251710792.9,0
2026-07-15 15:00:00+00:00,79118.1,79363.7,79098.7,79264.7,3964.471,2026-07-15 15:59:59.999000+00:00,314042743.4,127539,1901.594,150649387.1,0
2026-07-15 16:00:00+00:00,79264.7,79475.8,79188.8,79432.1,3785.646,2026-07-15 16:59:59.999000+00:00,300384103.7,110137,2037.83,161708151.2,0
2026-07-15 17:00:00+00:00,79432.2,79532.1,79135.4,79241.2,3660.491,2026-07-15 17:59:59.999000+00:00,290339150.5,112519,1603.591,127209017.1,0
2026-07-15 18:00:00+00:00,79241.1,79257.9,79012.5,79104.2,3297.179,2026-07-15 18:59:59.999000+00:00,260806721.8,95402,1341.516,106114300.8,0
2026-07-15 19:00:00+00:00,79104.3,79185.0,78955.0,79081.1,2297.386,2026-07-15 19:59:59.999000+00:00,181677918.2,70037,967.134,76483008.53,0
